nome,lattes,deptos
"Jefferson Ferraz Damasceno Felix Araujo","0190128964748843","Física"
"Renata Mattos Eyer de Araujo","0282672373632328","Artes e Design"
"Priscila Andrade Silva","0332900895866001","Artes e Design"
"Marco Antonio Casanova","0400232298849115","Informática"
"Vera Lúcia Moreira dos Santos Nojima","0417467366901642","Artes e Design"
"Luiz Eduardo Dutra Coelho da Rocha","0424139346325068","Artes e Design"
"Roberto Ierusalimschy","0427692772445368","Informática"
"Vera Maria Marsicano Damazio","0479162431018606","Artes e Design"
"Nathalia Chehab de Sá Cavalcante","0479267092267568","Artes e Design"
"Clarissa Biolchini","0616336350443514","Artes e Design"
"Alessandra Carusi Machado Bezerra","0651235231570796","Artes e Design"
"Cristine Nogueira Nunes","0694474956731593","Artes e Design"
"Celia Beatriz Anteneodo de Porto","0730727299854995","Física"
"Renato Fontoura de Gusmão Cerqueira","0731606611183670","Informática"
"Suzana Valladares Fonseca","0749852550019627","Artes e Design"
"Carlos Eduardo Felix da Costa","0757744155897986","Artes e Design"
"Thiago Barbosa dos Santos Guerreiro","0784513398355348","Física"
"Alessandro Fabricio Garcia","0807511237795775","Informática"
"Arman Esmaili Taklimi","0810409099810641","Física"
"Marcus Vinicius Soledade Poggi de Aragao","0833253899619895","Informática"
"Luiza Ferro Costa Marcier","0883060795204286","Artes e Design"
"Rogério Luís de Carvalho Costa","0964031559829384","Informática"
"Clarissa Maria de Almeida Barbosa","0971513940642357","Informática"
"Marcos Kalinowski","1095304607841635","Informática"
"Sérgio Colcher","1104157433492666","Informática"
"Sheila Dain","1213424875785708","Artes e Design"
"Claudia Renata Mont'Alvão Bastos Rodrigues","1442907381860300","Artes e Design"
"Mario Augusto Seixas","1445842965375870","Artes e Design"
"Paula Ypiranga dos Guaranys","1506112949072621","Informática"
"Luiz Fernando Bessa Seibel","1526174034201709","Informática"
"Izabel Maria de Oliveira","1636038208207422","Artes e Design"
"Marco Serpa Molinaro","1656881663114095","Informática"
"Bernardo Pereira Nunes","1728746187630338","Informática"
"Thibaut Victor Gaston Vidal","1821402316308818","Informática"
"Cecilia Reis Englander Lustosa","1874639468803355","Informática"
"Melissa Lemos Cavaliére","1929107472151568","Informática"
"Romulo Miyazawa Matteoni","2048827363170690","Artes e Design"
"Anderson Oliveira da Silva","2112731242323579","Informática"
"Marcelo Eduardo Huguenin Maia da Costa","2213216319318682","Física"
"Rodrigo Penteado Ribeiro de Toledo","2272353185945116","Informática"
"José Augusto Brandão Estellita Lins","2285737207231717","Artes e Design"
"Alexandre Malheiros Meslin","2297506963539888","Informática"
"Fernando Felicio dos Santos de Carvalho","2335075919520465","Artes e Design"
"Jorge Langone","2352385843693492","Artes e Design"
"Augusto Seibel Machado","2360822965008630","Artes e Design"
"Leonardo Cardarelli Leite","2395898863050060","Artes e Design"
"Isabel Martins Moreira","2621859812538963","Artes e Design"
"Márcio Ribeiro Rodrigues de Oliveira","2726604452859923","Artes e Design"
"Jonatas dos Santos Grosman","2883698685063688","Informática"
"Marcelo Fernandes Pereira","2957130184107059","Artes e Design"
"Miguel Santos de Carvalho","3088630449645365","Artes e Design"
"Guilherme Azevedo Toledo","3216136794726052","Artes e Design"
"Bernardo Pinto de Alkmim","3242197095211796","Informática"
"Helena Cavalcanti de Albuquerque","3271024192238369","Artes e Design"
"Denise Berruezo Portinari","3394423096338340","Artes e Design"
"Enio Frota da Silveira","3497095259123139","Física"
"Renato Barbosa de Oliveira","3524322623898229","Física"
"Mônica Saboia Saddi","3597253522261998","Artes e Design"
"Greis Francy Mireya Silva Calpa","3617813687111663","Informática"
"Paulo Ivson Netto Santos","3762142722427704","Informática"
"Daniel Malaguti Campos","3800154527537303","Artes e Design"
"Juliana Arriel","3894389473532167","Informática"
"Mateu de Athayde Velasco","3947553866547392","Artes e Design"
"Clarisse Sieckenius de Souza","4031565135568125","Informática"
"Gero Arthur Hubertus Thilo Freiherr von Gersdorff","4058118793813648","Física"
"João Alves dos Reis Junior","4218223417570712","Artes e Design"
"João de Sá Bonelli","4223050992886738","Artes e Design"
"Claudio Freitas de Magalhães","4248298461741549","Artes e Design"
"Alberto Barbosa Raposo","4394162331037750","Informática"
"Roberta Portas Gonçalves Rodrigues","4412059982163936","Artes e Design"
"Leonidas Augusto Correia de Moraes","4544064241267186","Artes e Design"
"Marcantonio Giuseppe Maria Carlo Fabra","4701272434027063","Informática"
"Claudia Ferlin","4781864789335595","Informática"
"Carlo Franzato","4881062407464026","Artes e Design"
"Augusto Cesar Espíndola Baffa","4975737510415729","Informática"
"Rian Oliveira Rezende","5020516072077929","Artes e Design"
"Hiroshi Nunokawa","5060331747038283","Física"
"Rodrigo Prioli Menezes","5085393541593718","Física"
"Raphael Dias Martins De Paola","5096916582568529","Física"
"Marco Antonio Magalhaes Lima","5150314612213956","Artes e Design"
"Maria Júlia Moraes Pinto Nunes","5169345619157019","Artes e Design"
"Silvia Helena Soares da Costa","5223416349133585","Artes e Design"
"Francisco Oliveira de Queiroz","5264917731356492","Artes e Design"
"Karin Koogan Breitman","5297074319265251","Informática"
"Luiza Novaes","5335191858617545","Artes e Design"
"Werther Teixeira de Azevedo Neto","5339372005706879","Artes e Design"
"Maria Manuela Rupp Quaresma","5462014719461367","Artes e Design"
"Carlos André Lameirão Côrtes","5502174296234604","Artes e Design"
"João Victor Azevedo de Menezes Correia de Melo","5580376703816153","Artes e Design"
"Joisa de Souza Oliveira","5594194423385963","Informática"
"Victor Carôzo Gois de Oliveira","5726498090157951","Física"
"Eliane Garcia Pereira","5738420486952616","Artes e Design"
"Adriano Francisco Branco","5743580027138953","Informática"
"Rita Maria de Souza Couto","5874218092323774","Artes e Design"
"Joana Pessoa Mota","5911357245331409","Artes e Design"
"Joaquim Marçal Ferreira de Andrade","5968006010168099","Artes e Design"
"Julieta Costa Sobral","6007828564832180","Artes e Design"
"Eduardo Sany Laber","6039007393332552","Informática"
"Edward Hermann Haeusler","6075905438020841","Informática"
"Andrew Diniz da Costa","6118406981188025","Informática"
"Isabel Cristina dos Santos Carvalho","6140495391360571","Física"
"Tatiana Barbosa Carvalho","6175835545698390","Artes e Design"
"Ana Carolina Letichevsky","6307561407247969","Informática"
"Maria Claudia Bolshaw Gomes","6326393956468473","Artes e Design"
"Marcos Amarante de Almeida Magalhães","6388594724411404","Artes e Design"
"Markus Endler","6505039023842313","Informática"
"Waldemar Celes Filho","6533801740375459","Informática"
"Joaquim de Salles Redig de Campos","6542903895772843","Artes e Design"
"Jose Alberto Rodrigues Pereira Sardinha","6620778250608191","Informática"
"Nilton Gonçalves Gamba Junior","6691982448335709","Artes e Design"
"José Carlos Ramalho Moreira","6692179930799319","Informática"
"Jackeline Lima Farbiarz","6731603269257267","Artes e Design"
"Guilherme de Almeida Xavier","6826067272836852","Artes e Design"
"Luiza Maria Interlenghi","6853304511658092","Artes e Design"
"Maria das Graças de Almeida Chagas","6870737677368951","Artes e Design"
"Welles Antonio Martinez Morgado","6911356765220023","Física"
"Jorge Roberto Lopes dos Santos","7036137303246485","Artes e Design"
"Celso Braga Wilmer","7204893289932154","Artes e Design"
"Anderson Antonio Pedroso","7245664802479343","Artes e Design"
"Marcelo Gattass","7454736736043931","Informática"
"Luis Vicente Barros Cardoso de Melo","7571872416074782","Artes e Design"
"Ivan Mathias Filho","7610636882712771","Informática"
"Fabio Pinto Lopes de Lima","7687741015965831","Artes e Design"
"Maria Eloisa de Jesus Conceição","8035530871481957","Artes e Design"
"Sergio Lifschitz","8164403687403639","Informática"
"Marco Cremona","8194466311190528","Física"
"Luciana Grether de Mello Carvalho","8215736088517968","Artes e Design"
"Wei Chen","8242444761411208","Física"
"Bruno Feijo","8249534204731109","Informática"
"Guilherme Lorenzoni de Almeida","8258519888260570","Artes e Design"
"Ricardo da Cunha Fontes","8267112575048215","Artes e Design"
"Irina Aragao dos Santos","8361386460154458","Artes e Design"
"Carla Göbel Burlamaqui de Mello","8809843174160878","Física"
"Claudia Habib Kayat","8859960175809249","Artes e Design"
"Walvyker Alves de Souza","8939784377580745","Artes e Design"
"Flavia Nizia da Fonseca Ribeiro","9085065402673423","Artes e Design"
"Helio Côrtes Vieira Lopes","9199970180870105","Informática"
"Marcos Vianna Villas","9212655972228646","Informática"
"Simone Diniz Junqueira Barbosa","9222024053983021","Informática"
"Andre Luis Ferreira Beltrao","9226820141066319","Artes e Design"
"Allan Rodrigues Vieira","9318645336434830","Física"
"José Roberto Sanseverino","9496855932903440","Artes e Design"
"Tommaso Del Rosso","9605920001528483","Física"
"Gilberto Mendes Correia Junior","9836749140110551","Artes e Design"
"Alexandre Cantini Rezende","9844416074412479","Artes e Design"
"Simone Carvalho de Formiga","9866401638128172","Artes e Design"
"Joy Helena Worms Till","9895738636632298","Artes e Design"
"Raúl Pierre Rentería","9901133314325354","Informática"
